task_id,title,description,type_of_task,priority_level,due_date
6075aa0d-db70-42f4-a421-2c9354d895e8,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,Low,2025-04-16
d2cc7e05-3d68-46b3-91d2-05d545bca790,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Reflected Ceiling Plan,Low,2025-04-19
216bf3e8-678c-48b3-94e3-18f714f339c1,Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,Neutral,2025-04-12
92507fda-61d5-4179-bac0-d0009c166ea7,Construction Documentation,Compile detailed construction drawings for city permit approval.,Hardscape Plan,Neutral,2025-04-22
3459a54d-20ca-4d54-a9d7-93b21ef965ac,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,Low,2025-04-18
2e84829a-9ae3-45f7-9140-2fb2eb30cc0c,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Furniture Layout Plan,Low,2025-04-14
d71b27cf-eb33-4329-891d-bab8a649ef8b,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Custom Millwork & Joinery Drawing,High,2025-04-07
8820a439-77c7-4872-8a91-33082deb01db,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Partition Plan,Low,2025-04-25
e38a5566-68c3-47f3-9a47-f7fd07959e40,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,Low,2025-05-02
3b866d21-41ed-4fa2-81b3-54dce9b5cecd,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,Low,2025-04-11
a32343cd-0467-4ce2-a48b-88c827cf14a9,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Custom Millwork & Joinery Drawing,High,2025-04-07
c98df564-d1e3-4e30-a688-ff2de300512c,Technical Specifications,Compile technical specifications for the construction phase.,Reflected Ceiling Plan,Low,2025-04-18
0816acb9-94a9-4383-ba24-2e0712b1a5c5,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Floor Plan,Neutral,2025-04-07
be56ed97-d478-47e8-b898-678021ff0113,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Low,2025-04-14
51f991d7-8cee-48d9-bc62-ef0c999611a9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,3D Model,High,2025-04-14
83c205c6-46ce-4dbd-a2c6-75a58d71abcf,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Hardscape Plan,Neutral,2025-05-03
344fea49-ed25-48ad-a9fc-889ae137f47d,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Low,2025-04-27
ed37921f-665a-45cf-a919-cbbb7f532bcf,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,High,2025-04-27
0fb1d295-3db9-4f59-8157-537d83bd929e,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Virtual Reality,High,2025-05-02
e8c6fee6-7946-4429-9cb7-b0d8d5121181,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Virtual Reality,Neutral,2025-04-10
a4085c74-24bb-4497-a2e1-394602f46682,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Schematic Design,Low,2025-04-26
4d7c9c1d-4714-4667-8a40-505a62a74db4,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Conceptual Design,Low,2025-04-20
33d7ce99-c605-4bbb-bd22-7fc8b974e7c4,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Section Drawing,Neutral,2025-04-19
79127cd5-ac5f-4aa7-9db1-52da02adb998,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Hardscape Plan,High,2025-04-16
bd127222-d153-4df6-ac9a-36f502b91423,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,Neutral,2025-04-29
722e0893-9ba9-48a3-8b39-3f30476f18d5,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Hardscape Plan,Low,2025-04-22
57a4175d-e0a1-4c9f-be39-422b13dd7c3b,Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,Low,2025-04-25
feb2d39d-55f0-410f-a206-86d8206dffe6,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Custom Millwork & Joinery Drawing,Neutral,2025-04-13
b220b4f4-6e06-4ebe-9eda-3120962aa0a2,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,Neutral,2025-04-13
aa0ab268-8ace-476d-a219-b588807a6232,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Low,2025-04-09
