preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
3D Render,0.89,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,General Specification,High,2025-04-16,6
Door & Window Schedule,0.86,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,General Specification,High,2025-05-03,0
Virtual Reality,0.95,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,High,2025-04-11,10
Floor Plan,0.62,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Landscape Plan,Low,2025-04-27,9
Zoning & Building Code Compliance,0.72,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Neutral,2025-05-09,8
Permit Drawing,0.74,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Hardscape Plan,Neutral,2025-04-17,7
Floor Plan,0.99,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,High,2025-04-11,8
Finish Schedule,0.61,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Finish Schedule,High,2025-04-24,3
Landscape Plan,0.73,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Neutral,2025-04-20,3
Construction Document,0.89,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Neutral,2025-04-27,0
Hardscape Plan,0.78,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Material Board,Neutral,2025-04-22,8
Others,0.98,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,High,2025-05-09,0
Schematic Design,0.97,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Roof Plan,High,2025-04-22,6
General Specification,0.84,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Construction Document,High,2025-05-09,7
Permit Drawing,0.73,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Door & Window Schedule,Neutral,2025-04-23,0
Roof Plan,0.71,Technical Specifications,Compile technical specifications for the construction phase.,Schematic Design,Low,2025-05-09,3
Permit Drawing,0.68,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,High,2025-05-03,3
Landscape Plan,0.61,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Section Drawing,High,2025-04-26,10
Interior Layout Plan,0.61,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,Neutral,2025-05-03,6
Design Development,0.96,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,High,2025-05-02,6
Roof Plan,0.63,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Door & Window Schedule,Neutral,2025-04-18,9
Zoning & Building Code Compliance,0.96,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,General Specification,Low,2025-04-23,10
Reflected Ceiling Plan,0.89,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,Neutral,2025-04-16,3
Reflected Ceiling Plan,0.96,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,Low,2025-04-30,9
Custom Millwork & Joinery Drawing,0.75,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,Neutral,2025-05-05,5
Construction Document,0.72,Structural Coordination,Coordinate with the structural engineer for beam placements.,Others,High,2025-05-09,9
Technical Specification,0.98,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,Low,2025-05-04,0
Permit Drawing,0.61,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,Low,2025-05-07,8
Partition Plan,0.9,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Neutral,2025-04-14,9
Floor Plan,0.84,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Model,High,2025-04-21,8
Floor Plan,0.6,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Construction Document,Low,2025-04-24,0
Partition Plan,0.93,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Neutral,2025-05-05,9
Interior Layout Plan,0.93,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Render,High,2025-04-25,4
Design Development,0.96,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Custom Millwork & Joinery Drawing,Low,2025-05-03,4
3D Render,0.78,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,Low,2025-04-20,1
Virtual Reality,0.76,Technical Specifications,Compile technical specifications for the construction phase.,Furniture Layout Plan,Low,2025-04-26,4
3D Model,0.69,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Low,2025-04-29,10
General Specification,0.94,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Roof Plan,Neutral,2025-05-10,6
Roof Plan,0.81,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,Neutral,2025-05-04,9
Reflected Ceiling Plan,0.6,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Site Plan,High,2025-05-07,4
Reflected Ceiling Plan,0.68,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,High,2025-05-07,8
Zoning & Building Code Compliance,0.96,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,Low,2025-05-01,6
Section Drawing,0.62,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Virtual Reality,Low,2025-05-02,7
Section Drawing,0.8,Construction Documentation,Compile detailed construction drawings for city permit approval.,Elevation Drawing,Low,2025-05-08,4
Elevation Drawing,0.84,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Lighting & Fixture Plan,Low,2025-04-21,2
Permit Drawing,0.61,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,General Specification,Neutral,2025-04-14,10
Custom Millwork & Joinery Drawing,0.64,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,High,2025-05-09,0
Schematic Design,0.71,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Others,Low,2025-04-18,2
Partition Plan,0.7,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Virtual Reality,Neutral,2025-05-08,5
Interior Layout Plan,0.96,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,High,2025-05-10,5
Virtual Reality,0.96,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Low,2025-04-13,8
Elevation Drawing,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Neutral,2025-04-12,2
Others,0.64,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Floor Plan,Neutral,2025-05-03,6
Others,0.86,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,General Specification,High,2025-05-07,3
Zoning & Building Code Compliance,0.87,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,Low,2025-05-02,5
Reflected Ceiling Plan,0.98,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Elevation Drawing,High,2025-04-20,3
Furniture Layout Plan,0.84,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,Neutral,2025-05-03,6
General Specification,0.64,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Render,Low,2025-05-07,5
Partition Plan,0.69,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Furniture Layout Plan,Neutral,2025-04-18,7
Section Drawing,1.0,Technical Specifications,Compile technical specifications for the construction phase.,Roof Plan,High,2025-05-10,5
Reflected Ceiling Plan,0.63,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,Neutral,2025-04-29,7
Construction Document,0.93,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Furniture Layout Plan,Neutral,2025-04-27,6
Partition Plan,0.64,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Floor Plan,Low,2025-04-15,8
Elevation Drawing,0.89,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Site Plan,Neutral,2025-05-04,0
Door & Window Schedule,0.61,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Render,Neutral,2025-04-29,3
3D Model,0.79,Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,High,2025-05-08,8
Floor Plan,0.9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,High,2025-05-10,9
Design Development,0.66,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Hardscape Plan,Low,2025-05-04,8
Finish Schedule,0.6,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,High,2025-05-06,6
Lighting & Fixture Plan,0.73,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Schematic Design,Low,2025-04-24,2
Technical Specification,0.73,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Design Development,High,2025-04-28,9
Hardscape Plan,0.69,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Site Plan,Low,2025-04-16,2
Furniture Layout Plan,0.75,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Floor Plan,Low,2025-05-01,10
Site Plan,0.71,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Furniture Layout Plan,High,2025-04-25,8
Roof Plan,0.62,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Landscape Plan,Neutral,2025-04-12,3
Technical Specification,0.84,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Conceptual Design,High,2025-04-20,5
Others,0.67,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Schematic Design,High,2025-04-28,4
Custom Millwork & Joinery Drawing,0.95,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Landscape Plan,High,2025-04-14,8
3D Render,0.76,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Section Drawing,Low,2025-04-14,0
3D Render,0.71,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,High,2025-04-17,0
Furniture Layout Plan,0.91,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Permit Drawing,Neutral,2025-04-15,7
Door & Window Schedule,0.74,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,Low,2025-05-06,5
Interior Layout Plan,0.8,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,Low,2025-04-17,10
Floor Plan,0.91,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Neutral,2025-05-08,7
Schematic Design,0.71,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Neutral,2025-04-25,6
Site Plan,0.6,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Finish Schedule,High,2025-04-24,2
Construction Document,0.83,Technical Specifications,Compile technical specifications for the construction phase.,Custom Millwork & Joinery Drawing,Low,2025-04-26,4
Conceptual Design,0.83,Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,High,2025-04-23,3
Zoning & Building Code Compliance,0.61,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Technical Specification,Low,2025-04-22,3
Site Plan,0.89,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,Neutral,2025-04-29,3
Floor Plan,0.98,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Model,Neutral,2025-05-01,9
Lighting & Fixture Plan,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,Low,2025-05-09,8
Interior Layout Plan,0.84,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,High,2025-05-01,2
Lighting & Fixture Plan,0.63,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Low,2025-04-27,10
3D Render,0.82,Construction Documentation,Compile detailed construction drawings for city permit approval.,Zoning & Building Code Compliance,Low,2025-04-25,4
Lighting & Fixture Plan,0.69,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Finish Schedule,Neutral,2025-05-03,2
Virtual Reality,0.68,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Reflected Ceiling Plan,High,2025-04-15,3
Custom Millwork & Joinery Drawing,0.73,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Zoning & Building Code Compliance,Low,2025-05-08,8
Roof Plan,0.8,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,High,2025-04-16,2
Hardscape Plan,1.0,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,High,2025-04-15,1
Technical Specification,0.96,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Site Plan,Neutral,2025-05-10,8
Elevation Drawing,0.71,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Neutral,2025-04-13,10
Door & Window Schedule,0.79,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Conceptual Design,Neutral,2025-04-30,10
Permit Drawing,0.85,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Lighting & Fixture Plan,Neutral,2025-04-24,9
3D Render,0.94,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Virtual Reality,Low,2025-05-08,5
General Specification,0.85,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Furniture Layout Plan,Low,2025-04-14,8
Permit Drawing,0.84,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,General Specification,Neutral,2025-04-15,10
Zoning & Building Code Compliance,0.64,Construction Documentation,Compile detailed construction drawings for city permit approval.,Interior Layout Plan,High,2025-04-18,2
3D Model,0.93,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,Neutral,2025-04-18,0
Interior Layout Plan,0.75,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Low,2025-05-08,0
Construction Document,1.0,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Virtual Reality,Low,2025-04-25,6
Section Drawing,0.88,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Low,2025-04-25,9
Virtual Reality,0.61,Construction Documentation,Compile detailed construction drawings for city permit approval.,Furniture Layout Plan,High,2025-04-21,5
Material Board,0.9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Hardscape Plan,Low,2025-05-09,0
Conceptual Design,0.84,Construction Documentation,Compile detailed construction drawings for city permit approval.,Conceptual Design,Low,2025-04-19,10
Landscape Plan,0.62,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Low,2025-05-06,1
Others,0.82,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Technical Specification,High,2025-04-29,2
3D Render,0.92,3D Model Development,Create a detailed 3D model for the client’s new residential project.,General Specification,Neutral,2025-05-09,5
3D Render,0.64,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Lighting & Fixture Plan,Neutral,2025-04-19,8
Hardscape Plan,0.75,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Design Development,High,2025-05-07,9
Lighting & Fixture Plan,0.7,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Partition Plan,Neutral,2025-04-22,7
Floor Plan,0.6,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,Low,2025-04-11,0
Section Drawing,0.7,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Reflected Ceiling Plan,High,2025-04-11,0
Reflected Ceiling Plan,0.95,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,General Specification,Neutral,2025-05-07,2
Section Drawing,0.99,Structural Coordination,Coordinate with the structural engineer for beam placements.,Furniture Layout Plan,Low,2025-04-27,1
Hardscape Plan,0.67,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Neutral,2025-04-18,9
Conceptual Design,0.68,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,Low,2025-05-05,7
3D Model,0.89,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,Low,2025-04-13,2
Furniture Layout Plan,0.87,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Neutral,2025-05-06,6
Roof Plan,0.81,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,High,2025-04-11,6
Permit Drawing,0.99,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Elevation Drawing,High,2025-04-21,1
Floor Plan,0.84,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,Low,2025-04-24,4
Door & Window Schedule,0.84,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Zoning & Building Code Compliance,Low,2025-04-15,2
Elevation Drawing,0.94,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Permit Drawing,Neutral,2025-05-04,10
Section Drawing,0.64,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Low,2025-05-09,3
Furniture Layout Plan,0.93,Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,Neutral,2025-04-15,3
Zoning & Building Code Compliance,0.91,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Design Development,Low,2025-05-04,8
Zoning & Building Code Compliance,0.73,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Lighting & Fixture Plan,Neutral,2025-04-17,5
Reflected Ceiling Plan,0.85,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,Low,2025-05-04,7
Schematic Design,0.8,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Reflected Ceiling Plan,High,2025-04-30,5
Finish Schedule,0.97,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Custom Millwork & Joinery Drawing,Neutral,2025-04-23,7
Landscape Plan,0.76,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Floor Plan,Neutral,2025-05-04,2
Furniture Layout Plan,0.74,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Partition Plan,Neutral,2025-05-03,1
Custom Millwork & Joinery Drawing,0.63,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Interior Layout Plan,Neutral,2025-04-29,5
3D Render,0.76,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Technical Specification,Low,2025-05-06,2
Design Development,0.85,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Design Development,Neutral,2025-05-09,6
3D Model,0.63,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,Low,2025-04-17,9
Elevation Drawing,0.62,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,High,2025-04-22,0
Site Plan,0.71,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,High,2025-04-29,8
Design Development,0.87,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,High,2025-04-18,9
Site Plan,0.81,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Material Board,High,2025-05-01,5
Schematic Design,0.89,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,Neutral,2025-05-09,0
Reflected Ceiling Plan,0.6,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Conceptual Design,Neutral,2025-04-18,5
Furniture Layout Plan,0.86,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Reflected Ceiling Plan,High,2025-05-05,10
Partition Plan,0.63,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,High,2025-05-03,9
3D Render,0.9,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Lighting & Fixture Plan,Low,2025-05-07,2
Custom Millwork & Joinery Drawing,0.92,Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,High,2025-04-25,3
Lighting & Fixture Plan,0.71,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Landscape Plan,Low,2025-04-23,6
Floor Plan,0.7,Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,Low,2025-05-06,5
Conceptual Design,0.78,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Permit Drawing,Low,2025-05-10,5
Section Drawing,0.99,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,Neutral,2025-05-06,9
Material Board,0.92,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Technical Specification,Neutral,2025-04-18,4
Technical Specification,0.93,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,High,2025-04-13,0
Construction Document,0.85,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,High,2025-04-24,6
Elevation Drawing,0.83,Structural Coordination,Coordinate with the structural engineer for beam placements.,Lighting & Fixture Plan,High,2025-04-23,6
Landscape Plan,0.93,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,High,2025-04-19,4
Interior Layout Plan,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,Low,2025-04-21,6
General Specification,0.7,Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,High,2025-04-19,4
3D Model,0.97,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Section Drawing,High,2025-05-10,1
Zoning & Building Code Compliance,0.73,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Model,High,2025-05-09,4
Custom Millwork & Joinery Drawing,0.97,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Conceptual Design,Low,2025-04-28,10
Site Plan,0.98,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,Low,2025-05-01,5
Virtual Reality,0.72,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Site Plan,High,2025-04-21,1
Material Board,0.83,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Material Board,Low,2025-04-15,7
Conceptual Design,0.82,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Conceptual Design,High,2025-04-16,8
Finish Schedule,0.8,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Permit Drawing,High,2025-05-10,9
Others,0.9,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,Low,2025-04-11,8
Others,0.6,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,Low,2025-04-13,4
Technical Specification,0.89,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Model,Low,2025-04-17,1
Technical Specification,0.87,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Neutral,2025-04-20,8
Design Development,0.6,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,Neutral,2025-05-08,0
Roof Plan,0.94,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Landscape Plan,Neutral,2025-05-04,3
Lighting & Fixture Plan,0.61,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Neutral,2025-04-24,7
Construction Document,0.97,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Partition Plan,High,2025-04-28,7
Hardscape Plan,0.61,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Zoning & Building Code Compliance,High,2025-04-22,1
Lighting & Fixture Plan,0.98,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Site Plan,Neutral,2025-05-02,0
Finish Schedule,0.88,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-04-29,3
Custom Millwork & Joinery Drawing,0.87,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Furniture Layout Plan,Neutral,2025-04-11,5
Landscape Plan,0.76,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Roof Plan,Neutral,2025-05-07,2
Finish Schedule,0.97,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Custom Millwork & Joinery Drawing,Low,2025-04-19,5
Partition Plan,0.6,Landscape Design Refinement,Enhance the planting layout for the residential garden.,3D Model,High,2025-04-18,7
Interior Layout Plan,0.73,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Schematic Design,Neutral,2025-04-16,10
Material Board,0.7,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,Neutral,2025-05-06,9
Construction Document,0.86,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,High,2025-04-25,2
Reflected Ceiling Plan,0.7,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Virtual Reality,Neutral,2025-05-10,0
Furniture Layout Plan,0.94,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Neutral,2025-04-24,5
Technical Specification,0.68,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,Low,2025-05-08,6
Reflected Ceiling Plan,0.69,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,High,2025-05-03,3
Custom Millwork & Joinery Drawing,0.95,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Furniture Layout Plan,High,2025-05-01,7
Zoning & Building Code Compliance,0.89,Construction Documentation,Compile detailed construction drawings for city permit approval.,Finish Schedule,High,2025-04-18,4
3D Render,0.83,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,High,2025-04-17,1
Furniture Layout Plan,0.78,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Roof Plan,Neutral,2025-04-15,0
Design Development,0.98,Construction Documentation,Compile detailed construction drawings for city permit approval.,Virtual Reality,High,2025-05-10,4
Door & Window Schedule,0.6,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Low,2025-04-16,0
Interior Layout Plan,0.72,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Material Board,Neutral,2025-04-27,7
Door & Window Schedule,0.68,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Section Drawing,Neutral,2025-05-04,2
Floor Plan,0.75,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Floor Plan,High,2025-04-11,2
Virtual Reality,0.99,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Roof Plan,Neutral,2025-04-24,7
Furniture Layout Plan,0.79,Technical Specifications,Compile technical specifications for the construction phase.,Material Board,Low,2025-04-21,1
Site Plan,0.91,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Hardscape Plan,Neutral,2025-04-20,6
Schematic Design,0.67,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Design Development,High,2025-05-08,0
Construction Document,0.89,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Furniture Layout Plan,Low,2025-04-12,2
Construction Document,0.92,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,Low,2025-04-25,4
Material Board,0.62,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,Low,2025-04-18,9
Furniture Layout Plan,0.73,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Conceptual Design,High,2025-04-16,0
Door & Window Schedule,0.6,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,High,2025-04-27,8
3D Render,0.73,Construction Documentation,Compile detailed construction drawings for city permit approval.,Design Development,Neutral,2025-05-01,0
Door & Window Schedule,0.92,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Floor Plan,Neutral,2025-04-13,8
Door & Window Schedule,0.65,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,Neutral,2025-04-12,3
Landscape Plan,0.85,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,Low,2025-04-23,6
General Specification,0.95,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Low,2025-05-03,1
Landscape Plan,0.93,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Low,2025-04-22,4
Virtual Reality,0.99,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Low,2025-04-24,7
