title,description,type_of_task,priority_level,due_date,workload,avg_quality_score,preferred_task,match_score
General Specification Draft,Prepare general notes and material specifications for tender documents.,Landscape Plan,Low,2025-05-10,7,0.49,Others,0.2
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Material Board,Low,2025-04-14,9,0.31,Partition Plan,0.16
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,High,2025-05-07,5,0.49,Floor Plan,0.4
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,High,2025-05-01,7,0.05,3D Render,0.31
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Others,Neutral,2025-04-13,7,0.41,Hardscape Plan,0.28
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Section Drawing,Low,2025-05-07,7,0.31,Landscape Plan,0.16
General Specification Draft,Prepare general notes and material specifications for tender documents.,Permit Drawing,Low,2025-04-15,3,0.42,Material Board,0.18
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Elevation Drawing,Low,2025-04-25,9,0.42,Reflected Ceiling Plan,0.18
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Virtual Reality,High,2025-04-24,1,0.59,3D Render,0.42
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Design Development,Low,2025-05-05,10,0.43,Design Development,0.49
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,Low,2025-04-21,6,0.3,Furniture Layout Plan,0.16
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Elevation Drawing,Neutral,2025-04-23,6,0.35,Finish Schedule,0.27
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Floor Plan,Low,2025-05-10,3,0.54,Custom Millwork & Joinery Drawing,0.21
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Technical Specification,Low,2025-05-01,10,0.35,Interior Layout Plan,0.17
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,3D Model,High,2025-04-28,2,0.41,Finish Schedule,0.38
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Partition Plan,Neutral,2025-04-23,3,0.31,Section Drawing,0.26
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Partition Plan,Low,2025-04-13,4,0.35,Design Development,0.17
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Hardscape Plan,Low,2025-05-01,7,0.17,Permit Drawing,0.13
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Roof Plan,High,2025-05-04,6,0.45,Others,0.39
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Door & Window Schedule,Low,2025-04-15,4,0.12,Design Development,0.12
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Floor Plan,Neutral,2025-04-17,9,0.14,Virtual Reality,0.23
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Finish Schedule,Low,2025-05-01,3,0.22,Landscape Plan,0.14
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Section Drawing,Neutral,2025-04-20,7,0.2,Conceptual Design,0.24
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Lighting & Fixture Plan,Low,2025-04-19,7,0.45,Conceptual Design,0.19
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Lighting & Fixture Plan,High,2025-04-29,6,0.19,Technical Specification,0.34
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Permit Drawing,Low,2025-04-14,10,0.64,Construction Document,0.23
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Elevation Drawing,Neutral,2025-04-17,7,0.6,Elevation Drawing,0.62
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Zoning & Building Code Compliance,Neutral,2025-04-23,1,0.21,Door & Window Schedule,0.24
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Design Development,High,2025-04-30,10,0.08,Hardscape Plan,0.32
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Neutral,2025-05-10,2,0.41,Floor Plan,0.28
Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,High,2025-04-12,7,0.29,Elevation Drawing,0.36
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Door & Window Schedule,Low,2025-04-30,9,0.14,3D Model,0.13
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Technical Specification,High,2025-04-20,5,0.45,Reflected Ceiling Plan,0.39
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Permit Drawing,Neutral,2025-04-19,7,0.23,Hardscape Plan,0.25
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,Low,2025-05-05,2,0.36,Material Board,0.17
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Technical Specification,Low,2025-04-28,8,0.51,Furniture Layout Plan,0.2
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Partition Plan,Low,2025-04-16,9,0.3,Finish Schedule,0.16
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Zoning & Building Code Compliance,High,2025-04-18,5,0.03,Schematic Design,0.31
Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Model,Low,2025-05-03,3,0.45,Section Drawing,0.19
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Reflected Ceiling Plan,High,2025-04-18,10,0.24,Elevation Drawing,0.35
General Specification Draft,Prepare general notes and material specifications for tender documents.,Site Plan,Low,2025-04-14,3,0.54,Elevation Drawing,0.21
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Permit Drawing,High,2025-05-09,8,0.15,Schematic Design,0.33
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Furniture Layout Plan,Neutral,2025-04-26,10,0.12,Others,0.22
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Hardscape Plan,High,2025-04-23,3,0.17,Lighting & Fixture Plan,0.33
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Zoning & Building Code Compliance,Neutral,2025-04-27,5,0.08,Floor Plan,0.22
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Furniture Layout Plan,Low,2025-04-28,4,0.3,Zoning & Building Code Compliance,0.16
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Custom Millwork & Joinery Drawing,Low,2025-05-10,6,0.32,Door & Window Schedule,0.16
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Section Drawing,Neutral,2025-04-13,4,0.47,Construction Document,0.29
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Section Drawing,Low,2025-04-14,9,0.69,Floor Plan,0.24
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,Low,2025-04-21,8,0.2,Custom Millwork & Joinery Drawing,0.14
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Lighting & Fixture Plan,Low,2025-05-10,2,0.26,Design Development,0.15
Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,Neutral,2025-04-20,10,0.49,Finish Schedule,0.3
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",3D Render,Low,2025-04-23,5,0.44,3D Model,0.19
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Construction Document,Low,2025-04-29,8,0.46,Floor Plan,0.19
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Conceptual Design,Neutral,2025-04-13,4,0.22,Schematic Design,0.24
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Partition Plan,Low,2025-05-05,7,0.17,Finish Schedule,0.13
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Permit Drawing,High,2025-04-22,8,0.1,Elevation Drawing,0.32
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Landscape Plan,High,2025-05-10,2,0.33,Permit Drawing,0.37
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,General Specification,Neutral,2025-04-15,2,0.4,Custom Millwork & Joinery Drawing,0.28
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Elevation Drawing,High,2025-05-02,3,0.28,Section Drawing,0.36
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Section Drawing,High,2025-04-19,7,0.26,Elevation Drawing,0.35
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Virtual Reality,Low,2025-05-04,5,0.22,Virtual Reality,0.44
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,Low,2025-04-23,2,0.25,Floor Plan,0.15
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Reflected Ceiling Plan,Low,2025-04-12,6,0.35,Furniture Layout Plan,0.17
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Virtual Reality,High,2025-04-22,3,0.14,Construction Document,0.33
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Schematic Design,Neutral,2025-05-03,8,0.23,Others,0.25
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Low,2025-04-21,9,0.2,Construction Document,0.14
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Virtual Reality,Neutral,2025-05-08,8,0.18,3D Render,0.24
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Elevation Drawing,High,2025-05-07,4,0.55,Floor Plan,0.41
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Permit Drawing,Low,2025-05-06,4,0.27,Custom Millwork & Joinery Drawing,0.15
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Section Drawing,High,2025-04-20,2,0.33,Conceptual Design,0.37
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,Neutral,2025-04-22,6,0.67,Permit Drawing,0.33
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,High,2025-04-25,8,0.04,Material Board,0.31
Bid Package Compilation,Organize all documents needed for contractor bidding.,Virtual Reality,Low,2025-04-25,4,0.2,Site Plan,0.14
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Hardscape Plan,Neutral,2025-05-10,2,0.43,Door & Window Schedule,0.29
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Section Drawing,Low,2025-04-18,9,0.26,Reflected Ceiling Plan,0.15
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,General Specification,High,2025-05-02,5,0.07,Zoning & Building Code Compliance,0.31
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Low,2025-04-20,8,0.35,Roof Plan,0.17
Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,Low,2025-05-08,6,0.51,Permit Drawing,0.2
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Site Plan,High,2025-05-10,7,0.12,Design Development,0.32
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Landscape Plan,Low,2025-04-14,3,0.62,Zoning & Building Code Compliance,0.22
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Permit Drawing,Low,2025-05-02,2,0.35,Hardscape Plan,0.17
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Partition Plan,Neutral,2025-04-16,6,0.32,Floor Plan,0.26
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,3D Model,Neutral,2025-05-03,9,0.36,Virtual Reality,0.27
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Others,Low,2025-05-09,1,0.01,Material Board,0.1
Structural Coordination,Coordinate with the structural engineer for beam placements.,Schematic Design,High,2025-04-23,5,0.08,Design Development,0.32
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,3D Render,High,2025-05-09,2,0.56,Technical Specification,0.41
Bid Package Compilation,Organize all documents needed for contractor bidding.,Hardscape Plan,Low,2025-04-23,6,0.36,Finish Schedule,0.17
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Others,Neutral,2025-04-20,8,0.21,Design Development,0.24
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Partition Plan,High,2025-05-10,7,0.19,Hardscape Plan,0.34
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Permit Drawing,Low,2025-05-05,3,0.14,Schematic Design,0.13
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,Neutral,2025-04-27,3,0.05,Section Drawing,0.21
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Virtual Reality,Neutral,2025-05-09,8,0.57,Conceptual Design,0.31
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Permit Drawing,High,2025-05-07,10,0.06,Roof Plan,0.31
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Interior Layout Plan,Neutral,2025-04-12,3,0.25,Permit Drawing,0.25
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Elevation Drawing,Neutral,2025-04-26,5,0.27,Custom Millwork & Joinery Drawing,0.25
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Material Board,Low,2025-04-24,1,0.09,Door & Window Schedule,0.12
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Custom Millwork & Joinery Drawing,Low,2025-05-07,6,0.04,Lighting & Fixture Plan,0.11
Technical Specifications,Compile technical specifications for the construction phase.,Landscape Plan,Neutral,2025-05-02,9,0.44,Construction Document,0.29
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Furniture Layout Plan,Low,2025-04-18,2,0.51,Virtual Reality,0.2
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,3D Render,Low,2025-04-17,7,0.08,Interior Layout Plan,0.12
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,3D Render,Low,2025-04-25,4,0.22,Elevation Drawing,0.14
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Landscape Plan,Neutral,2025-04-11,8,0.19,Interior Layout Plan,0.24
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Design Development,Neutral,2025-04-22,6,0.35,Custom Millwork & Joinery Drawing,0.27
Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,High,2025-04-27,2,0.42,Furniture Layout Plan,0.38
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,Neutral,2025-04-17,8,0.49,Virtual Reality,0.3
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,Low,2025-04-30,4,0.23,Floor Plan,0.15
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,General Specification,Low,2025-05-07,3,0.22,General Specification,0.44
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",General Specification,Low,2025-05-07,5,0.2,Finish Schedule,0.14
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Lighting & Fixture Plan,High,2025-04-24,8,0.03,Landscape Plan,0.31
Technical Specifications,Compile technical specifications for the construction phase.,Furniture Layout Plan,Low,2025-05-01,7,0.08,Furniture Layout Plan,0.42
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,Low,2025-05-06,5,0.2,General Specification,0.14
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,High,2025-05-04,5,0.73,Others,0.45
Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-05-01,1,0.25,Site Plan,0.35
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Schematic Design,Low,2025-04-30,7,0.05,Conceptual Design,0.11
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Zoning & Building Code Compliance,Neutral,2025-04-20,1,0.07,Site Plan,0.21
Technical Specifications,Compile technical specifications for the construction phase.,Section Drawing,High,2025-04-29,10,0.1,Zoning & Building Code Compliance,0.32
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Permit Drawing,Low,2025-05-07,10,0.46,Roof Plan,0.19
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Zoning & Building Code Compliance,Neutral,2025-04-24,7,0.46,Permit Drawing,0.29
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Custom Millwork & Joinery Drawing,Low,2025-04-30,8,0.05,Others,0.11
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Permit Drawing,High,2025-04-11,6,0.16,Door & Window Schedule,0.33
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,3D Render,Neutral,2025-04-21,3,0.28,Roof Plan,0.26
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Furniture Layout Plan,High,2025-04-29,10,0.07,Lighting & Fixture Plan,0.31
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Section Drawing,Low,2025-04-22,6,0.1,Hardscape Plan,0.12
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Construction Document,Neutral,2025-04-15,3,0.28,Elevation Drawing,0.26
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Virtual Reality,High,2025-04-18,5,0.1,Hardscape Plan,0.32
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Schematic Design,Low,2025-05-06,8,0.09,3D Render,0.12
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Virtual Reality,High,2025-04-26,10,0.45,Schematic Design,0.39
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,General Specification,High,2025-04-28,4,0.09,Reflected Ceiling Plan,0.32
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Site Plan,High,2025-04-19,1,0.29,Technical Specification,0.36
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,3D Model,Neutral,2025-05-05,5,0.48,Interior Layout Plan,0.3
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Others,High,2025-04-30,6,0.09,Zoning & Building Code Compliance,0.32
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Others,High,2025-04-27,2,0.25,Material Board,0.35
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,High,2025-04-28,4,0.41,Permit Drawing,0.38
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Hardscape Plan,Neutral,2025-04-17,1,0.18,Landscape Plan,0.24
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Furniture Layout Plan,Low,2025-05-05,8,0.47,Custom Millwork & Joinery Drawing,0.19
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Design Development,Neutral,2025-04-21,4,0.3,Floor Plan,0.26
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Partition Plan,High,2025-04-15,2,0.64,General Specification,0.43
Structural Coordination,Coordinate with the structural engineer for beam placements.,Reflected Ceiling Plan,Neutral,2025-04-29,3,0.41,Section Drawing,0.28
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Technical Specification,Low,2025-05-08,10,0.25,Landscape Plan,0.15
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Door & Window Schedule,Low,2025-04-22,6,0.17,Door & Window Schedule,0.43
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Material Board,Low,2025-05-08,4,0.18,Others,0.14
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Custom Millwork & Joinery Drawing,Neutral,2025-05-06,10,0.15,Partition Plan,0.23
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Custom Millwork & Joinery Drawing,Neutral,2025-04-29,6,0.05,Floor Plan,0.21
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Virtual Reality,Low,2025-05-03,10,0.59,Conceptual Design,0.22
Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,Neutral,2025-04-21,7,0.26,Reflected Ceiling Plan,0.25
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Roof Plan,Low,2025-04-17,1,0.42,Furniture Layout Plan,0.18
General Specification Draft,Prepare general notes and material specifications for tender documents.,Schematic Design,Low,2025-04-25,2,0.37,Permit Drawing,0.17
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,High,2025-04-18,4,0.14,3D Model,0.33
Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Neutral,2025-05-06,3,0.05,Floor Plan,0.21
General Specification Draft,Prepare general notes and material specifications for tender documents.,Technical Specification,Neutral,2025-04-13,8,0.06,Material Board,0.21
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Zoning & Building Code Compliance,Low,2025-04-12,7,0.06,Partition Plan,0.11
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Schematic Design,High,2025-05-06,2,0.24,Design Development,0.35
Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Neutral,2025-04-17,6,0.05,Virtual Reality,0.21
Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,Low,2025-04-21,9,0.11,Site Plan,0.12
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Lighting & Fixture Plan,High,2025-05-10,7,0.47,Section Drawing,0.39
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Design Development,Low,2025-04-19,1,0.1,Landscape Plan,0.12
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,High,2025-05-04,1,0.16,Finish Schedule,0.33
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,Low,2025-04-26,3,0.54,Virtual Reality,0.21
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Site Plan,Neutral,2025-04-23,9,0.13,Furniture Layout Plan,0.23
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Landscape Plan,Low,2025-05-05,3,0.63,Site Plan,0.23
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Floor Plan,High,2025-04-29,5,0.3,Site Plan,0.36
Accessibility Audit,Review floor plans for compliance with accessibility standards.,General Specification,High,2025-05-09,4,0.56,Custom Millwork & Joinery Drawing,0.41
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Construction Document,Low,2025-04-25,2,0.39,Conceptual Design,0.18
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Model,High,2025-05-07,7,0.28,Reflected Ceiling Plan,0.36
Bid Package Compilation,Organize all documents needed for contractor bidding.,3D Model,High,2025-04-24,1,0.36,Finish Schedule,0.37
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Virtual Reality,Neutral,2025-04-20,8,0.12,Design Development,0.22
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Schematic Design,Low,2025-05-08,9,0.15,Schematic Design,0.43
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Neutral,2025-04-14,4,0.14,Elevation Drawing,0.23
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Technical Specification,High,2025-04-23,1,0.13,Finish Schedule,0.33
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Door & Window Schedule,Low,2025-04-19,1,0.13,Design Development,0.13
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,High,2025-04-16,8,0.38,Construction Document,0.38
Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,High,2025-04-22,5,0.61,Construction Document,0.42
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Construction Document,Low,2025-04-26,8,0.13,Virtual Reality,0.13
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Furniture Layout Plan,High,2025-04-17,5,0.32,Reflected Ceiling Plan,0.36
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Virtual Reality,Low,2025-05-09,3,0.27,Schematic Design,0.15
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Lighting & Fixture Plan,Low,2025-04-24,4,0.34,General Specification,0.17
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Section Drawing,Low,2025-04-21,5,0.1,Finish Schedule,0.12
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Construction Document,Low,2025-04-23,8,0.15,Others,0.13
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Construction Document,High,2025-04-19,6,0.54,Others,0.41
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Permit Drawing,Neutral,2025-04-30,3,0.36,Section Drawing,0.27
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,General Specification,Low,2025-04-23,5,0.3,Technical Specification,0.16
Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,High,2025-05-05,9,0.36,3D Render,0.37
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,Low,2025-05-05,7,0.19,Virtual Reality,0.14
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Permit Drawing,Neutral,2025-04-26,1,0.23,Permit Drawing,0.55
Technical Specifications,Compile technical specifications for the construction phase.,Section Drawing,Low,2025-04-15,10,0.2,Material Board,0.14
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Roof Plan,Low,2025-04-26,8,0.1,Roof Plan,0.42
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,Neutral,2025-04-11,1,0.22,Landscape Plan,0.24
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Construction Document,High,2025-05-07,2,0.38,3D Render,0.38
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Elevation Drawing,Low,2025-04-11,10,0.16,Finish Schedule,0.13
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Technical Specification,Neutral,2025-04-21,1,0.11,Door & Window Schedule,0.22
Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,High,2025-04-19,1,0.41,Conceptual Design,0.38
Bid Package Compilation,Organize all documents needed for contractor bidding.,Design Development,High,2025-04-11,1,0.3,General Specification,0.36
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Reflected Ceiling Plan,High,2025-04-19,9,0.03,Design Development,0.31
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Conceptual Design,Low,2025-05-02,6,0.18,Furniture Layout Plan,0.14
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Technical Specification,Low,2025-05-07,5,0.48,Finish Schedule,0.2
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,Low,2025-05-02,9,0.42,Permit Drawing,0.18
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,Neutral,2025-04-30,9,0.18,Virtual Reality,0.24
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Section Drawing,High,2025-04-19,8,0.32,Construction Document,0.36
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,Neutral,2025-04-11,6,0.13,Furniture Layout Plan,0.23
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Furniture Layout Plan,Low,2025-04-24,5,0.33,Conceptual Design,0.17
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Conceptual Design,High,2025-05-01,9,0.22,Technical Specification,0.34
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Door & Window Schedule,Neutral,2025-05-06,1,0.0,Floor Plan,0.2
Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-05-10,5,0.17,Technical Specification,0.33
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Finish Schedule,High,2025-04-21,2,0.35,Virtual Reality,0.37
